Date,open,high,low,close,volume
2024-07-02,205.25,205.25,196.75,197.0,4583768
2024-07-03,198.0,198.0,192.0,192.25,3112272
2024-07-05,191.5,192.0,186.0,186.25,4724408
2024-07-08,186.0,187.25,184.5,185.0,3199376
2024-07-09,183.75,186.75,182.25,184.75,3865592
2024-07-10,183.0,184.25,178.5,179.25,4338136
2024-07-11,179.25,192.5,178.75,190.75,7329392
2024-07-12,190.75,191.25,182.25,187.75,5974888
2024-07-15,186.25,189.0,181.0,186.5,6205448
2024-07-16,185.0,190.0,184.0,186.5,5207884
2024-07-17,195.75,203.0,195.0,202.75,7021176
2024-07-18,198.5,210.0,198.0,205.75,8367456
2024-07-19,206.75,213.5,203.25,211.5,7530860
2024-07-22,204.0,208.5,201.0,202.25,7346144
2024-07-23,203.5,205.25,199.75,204.5,5137612
2024-07-24,213.5,228.0,213.0,226.5,8158012
2024-07-25,226.25,238.25,220.0,234.25,9951096
2024-07-26,228.0,232.5,223.0,227.5,7059576
2024-07-29,223.5,229.75,220.25,226.25,6081312
2024-07-30,223.5,240.75,222.5,235.75,8119168
2024-07-31,220.0,222.25,212.25,214.75,9773996
2024-08-01,214.0,235.75,208.75,230.5,11691856
2024-08-02,244.25,254.0,240.25,247.25,11471684
2024-08-05,287.5,289.75,258.25,269.75,15314836
2024-08-06,266.5,271.5,248.25,262.25,10877348
2024-08-07,249.75,271.5,245.5,270.75,10324380
2024-08-08,259.25,266.75,244.5,246.0,8952152
2024-08-09,248.75,250.75,240.0,242.5,6623968
2024-08-12,241.25,245.75,225.0,241.25,5128696
2024-08-13,234.25,234.5,223.0,223.5,6375460
2024-08-14,222.25,229.75,219.75,223.25,6356972
2024-08-15,214.75,215.25,206.0,206.5,6445940
2024-08-16,209.0,210.5,204.25,205.75,4833428
2024-08-19,206.0,208.5,198.0,198.25,5167436
2024-08-20,199.25,201.5,196.0,199.75,5628868
2024-08-21,198.5,200.75,194.25,196.5,5185076
2024-08-22,194.0,207.5,193.25,206.0,7801676
2024-08-23,201.0,206.0,196.0,199.5,7452056
2024-08-26,200.5,208.25,199.25,205.75,5300188
2024-08-27,208.0,210.5,202.5,203.75,4513636
2024-08-28,204.75,215.5,203.75,211.0,6256956
2024-08-29,208.75,213.75,202.25,211.75,7909652
2024-08-30,206.75,212.75,204.0,205.0,6081716
2024-09-03,209.0,226.75,208.75,223.75,6674312
2024-09-04,228.25,229.75,219.75,225.25,8113300
2024-09-05,228.0,229.5,218.5,225.0,7247848
2024-09-06,226.5,244.25,225.0,243.0,9432920
2024-09-09,236.25,241.75,232.5,234.0,6760180
2024-09-10,231.5,237.75,227.0,228.0,6410852
2024-09-11,226.0,239.0,212.0,213.25,10655912
2024-09-12,213.25,215.75,205.75,207.0,7212616
2024-09-13,208.0,208.5,202.75,204.25,5131296
2024-09-16,207.25,211.75,206.5,207.5,4696512
2024-09-17,203.25,210.5,201.75,207.0,5454516
2024-09-18,205.75,210.75,200.25,210.0,8029252
2024-09-19,195.25,198.0,190.25,194.0,8902316
2024-09-20,195.5,200.5,194.0,195.75,5948552
2024-09-23,194.25,195.75,192.75,194.25,4117700
2024-09-24,192.5,197.5,190.0,191.25,5435220
2024-09-25,188.5,188.75,185.0,186.75,4966140
2024-09-26,178.5,187.25,178.0,183.0,6425780
2024-09-27,182.25,187.75,182.0,186.25,5348304
2024-09-30,187.5,191.0,184.5,184.75,6270580
2024-10-01,185.5,197.25,185.0,193.0,8646944
2024-10-02,194.0,197.0,189.5,191.75,6120124
2024-10-03,194.75,195.75,189.0,192.75,6043440
2024-10-04,186.0,192.0,185.25,185.75,7359188
2024-10-07,188.25,193.5,186.75,192.0,4889672
2024-10-08,189.25,190.0,182.5,183.5,5556376
2024-10-09,183.75,185.0,178.5,179.25,5377868
2024-10-10,181.75,183.25,177.75,180.0,5315084
2024-10-11,182.25,183.0,178.25,179.25,4075100
2024-10-14,177.0,177.25,173.25,174.75,4557220
2024-10-15,174.75,184.25,174.0,182.0,7321924
2024-10-16,181.75,185.75,181.0,181.75,4384900
2024-10-17,176.0,181.75,175.75,181.5,5221472
2024-10-18,179.0,179.75,177.25,178.25,4231272
2024-10-21,179.75,182.0,176.5,177.5,5346832
2024-10-22,180.5,181.25,175.25,176.75,4969380
2024-10-23,179.5,188.75,178.75,185.25,7554816
2024-10-24,181.0,184.0,180.0,181.0,5352760
